intid,q1,tenure,rsentity,int_gender,int_ethnicity,off_female,off_bosniak,elected,tr_wearhijab,hijab_muslim,dv_const_1,dv_const_2,dv_const_3,dv_const_4,dv_const_5,dv_const_6,dv_represent_scale,dv_ethnic_coop_scale,approve_scale
14563,3,11,0,2,3,0,1,1,0,0,3,3,4,4,2,4,-0.63214213,-1.0730098,4
14563,3,0,0,2,3,0,1,0,1,1,4,5,4,5,5,5,0.62529808,1.435441,5
14563,3,3,0,2,3,1,1,1,1,1,5,4,4,5,4,5,0.61853278,0.81244469,5
14563,3,0,0,2,3,0,1,0,0,0,5,3,4,3,4,2,0.19713096,-0.46647879,2
14563,3,12,0,2,3,0,1,1,0,0,4,4,5,4,4,5,0.65449661,0.17298293,5
14563,3,0,0,2,3,0,1,0,1,1,5,5,5,5,5,5,1.490535,1.435441,5
14563,3,0,0,2,3,1,1,0,0,0,4,5,4,4,5,5,0.62529808,0.79597932,5
14563,3,4,0,2,3,0,1,1,1,1,4,4,3,4,3,4,-0.24670412,-0.45001343,4
14563,3,7,0,2,3,0,1,1,0,0,5,5,5,5,5,5,1.490535,1.435441,5
14563,3,0,0,2,3,0,1,0,1,1,3,3,3,4,4,3,-1.0827425,0.17298293,3
14563,3,0,0,2,3,1,1,0,0,0,5,5,5,5,5,5,1.490535,1.435441,5
14563,3,0,0,2,3,1,1,0,0,0,5,5,5,5,5,5,1.490535,1.435441,5
14563,3,7,0,2,3,0,1,1,0,0,5,3,4,5,5,3,0.19713096,1.435441,3
14563,3,0,0,2,3,1,1,0,1,1,5,5,5,5,5,5,1.490535,1.435441,5
14563,3,0,0,2,3,1,1,0,1,1,3,4,4,4,3,4,-0.21074028,-0.45001343,4
14563,3,7,0,2,3,0,1,1,0,0,4,4,5,4,4,4,0.65449661,0.17298293,4
14563,3,4,0,2,3,0,1,1,1,1,4,3,4,4,5,4,-0.21750557,0.79597932,4
14563,3,0,0,2,3,0,1,0,0,0,3,4,4,4,3,4,-0.21074028,-0.45001343,4
14563,3,8,0,2,3,0,1,1,0,0,5,5,4,5,4,4,1.0399346,0.81244469,4
14563,3,0,0,2,3,1,1,0,0,0,4,3,4,4,3,3,-0.21750557,-0.45001343,3
14563,3,0,0,2,3,1,1,0,0,0,4,5,5,3,4,3,1.0758985,-0.46647879,3
15041,3,1,0,2,3,1,1,1,1,1,4,4,5,4,4,5,0.65449661,0.17298293,5
15041,3,0,1,2,3,1,1,0,1,1,5,2,1,1,4,4,-1.576072,-1.7454023,4
15041,3,0,1,2,3,0,1,0,1,1,5,4,3,4,5,4,0.16793244,0.79597932,4
15041,3,3,0,2,3,0,1,1,1,1,5,4,5,4,4,4,1.0691332,0.17298293,4
15041,3,8,0,2,3,0,1,1,1,1,3,3,1,1,3,1,-1.9839432,-2.3683987,1
15041,3,3,0,2,3,1,1,1,0,0,3,4,4,4,4,4,-0.21074028,0.17298293,4
15041,3,0,1,2,3,1,1,0,0,0,5,5,5,5,5,5,1.490535,1.435441,5
15041,2,4,0,2,3,1,0,1,1,0,4,4,5,3,3,3,0.65449661,-1.0894752,3
15041,3,6,0,2,3,0,1,1,1,1,5,4,4,5,2,4,0.61853278,-0.43354806,4
15041,3,4,0,2,3,0,1,1,0,0,3,2,2,3,3,2,-1.9547447,-1.0894752,2
15041,3,3,0,2,3,0,1,1,0,0,5,3,3,3,3,3,-0.25346941,-1.0894752,3
15041,2,3,0,2,3,0,0,1,1,0,5,5,5,3,5,5,1.490535,0.15651757,5
15041,3,3,0,2,3,0,1,1,0,0,4,4,4,4,2,4,0.20389625,-1.0730098,4
15041,3,3,0,2,3,0,1,1,1,1,3,3,3,3,3,3,-1.0827425,-1.0894752,3
15041,3,7,0,2,3,0,1,1,0,0,5,5,5,5,3,4,1.490535,0.18944831,4
15041,1,0,1,2,3,1,0,0,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
15041,3,7,0,2,3,0,1,1,0,0,4,3,5,5,5,4,0.2330948,1.435441,4
15041,3,7,0,2,3,0,1,1,0,0,1,4,5,1,5,4,-0.58941299,-1.1224059,4
15041,3,0,1,2,3,0,1,0,1,1,4,4,4,4,4,4,0.20389625,0.17298293,4
15041,2,0,1,2,3,1,0,0,0,0,4,3,4,5,4,3,-0.21750557,0.81244469,3
15041,2,4,0,2,3,1,0,1,0,0,5,5,5,5,5,4,1.490535,1.435441,4
15041,3,0,1,2,3,0,1,0,1,1,5,3,3,4,4,3,-0.25346941,0.17298293,3
18522,3,3,0,2,1,0,1,1,1,1,5,4,4,4,4,4,0.61853278,0.17298293,4
18522,2,3,0,2,1,0,0,1,0,0,3,3,4,4,3,3,-0.63214213,-0.45001343,3
