"","def.race","vict.race","sentence"
"402","white","white","life sentence"
"403","white","white","life sentence"
"404","white","white","life sentence"
"405","black","white","death penalty"
"406","black","black","life sentence"
"407","white","white","life sentence"
"408","black","black","life sentence"
"409","black","black","life sentence"
"410","black","white","death penalty"
"411","black","black","life sentence"
"412","black","white","life sentence"
"413","white","white","life sentence"
"414","white","white","life sentence"
"415","white","white","life sentence"
"416","white","white","life sentence"
"417","black","black","life sentence"
"418","black","black","life sentence"
"419","black","black","life sentence"
"420","black","black","life sentence"
"421","white","black","life sentence"
"422","black","black","life sentence"
"423","white","white","life sentence"
"424","white","white","life sentence"
"425","black","white","life sentence"
"426","black","black","life sentence"
"427","black","white","life sentence"
"428","black","white","death penalty"
"429","black","white","death penalty"
"430","black","black","life sentence"
"431","black","white","death penalty"
"432","white","white","death penalty"
"433","white","white","life sentence"
"434","black","white","death penalty"
"435","white","white","life sentence"
"436","white","white","life sentence"
"437","white","white","life sentence"
"438","black","white","life sentence"
"439","black","white","life sentence"
"440","black","black","life sentence"
"441","black","black","life sentence"
"442","black","white","death penalty"
"443","black","black","life sentence"
"444","black","white","death penalty"
"445","black","black","life sentence"
"446","white","black","death penalty"
"447","white","white","life sentence"
"448","black","black","death penalty"
"449","white","white","death penalty"
"450","black","white","life sentence"
"451","white","white","life sentence"
"452","black","black","life sentence"
"453","black","white","life sentence"
"454","black","black","life sentence"
"455","black","black","life sentence"
"456","white","white","life sentence"
"457","black","black","life sentence"
"458","white","white","life sentence"
"459","black","black","life sentence"
"460","black","white","life sentence"
"461","black","black","life sentence"
"462","black","black","life sentence"
"463","black","black","life sentence"
"464","black","black","life sentence"
"465","white","white","life sentence"
"466","black","black","life sentence"
"467","black","white","life sentence"
"468","black","black","life sentence"
"469","white","white","death penalty"
"470","black","black","life sentence"
"471","white","white","death penalty"
"472","black","black","life sentence"
"473","white","white","death penalty"
"474","white","white","life sentence"
"475","white","white","life sentence"
"476","black","black","life sentence"
"477","black","white","life sentence"
"479","black","black","death penalty"
"480","white","white","life sentence"
"481","white","white","life sentence"
"482","black","black","life sentence"
"483","white","white","life sentence"
"484","black","white","life sentence"
"485","black","black","life sentence"
"486","black","black","life sentence"
"487","black","black","life sentence"
"488","black","white","life sentence"
"489","black","white","life sentence"
"490","black","white","death penalty"
"491","black","white","life sentence"
"492","black","white","death penalty"
"493","black","white","death penalty"
"494","white","white","death penalty"
"495","white","white","death penalty"
"496","white","white","death penalty"
"497","white","white","death penalty"
"498","white","white","death penalty"
"499","black","white","life sentence"
"500","black","black","death penalty"
"501","black","black","life sentence"
"502","white","white","life sentence"
"503","black","white","life sentence"
