"","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"726",1,6,3,0,5,59,0,0
"727",0,2,5,1,5,40,1,0
"728",1,3,1,1,5,75,0,1
"729",1,5,1,1,5,31,0,0
"730",1,3,3,0,5,35,0,0
"731",0,5,2,1,5,25,0,1
"732",0,3,3,1,5,26,0,0
"733",0,5,5,1,5,31,1,0
"734",0,5,4,1,5,52,0,0
"735",1,2,3,1,4,69,1,0
"736",1,2,4,1,5,61,1,0
"737",0,5,2,0,4,36,0,0
"738",0,3,5,1,5,48,1,0
"739",1,6,4,1,4,59,1,0
"740",1,6,5,1,5,70,1,0
"741",0,3,2,1,2,36,0,1
"742",0,6,3,0,5,48,0,0
"743",1,5,4,1,5,60,1,0
"744",1,2,5,1,4,63,1,0
"745",1,6,4,1,5,41,1,0
"746",1,2,4,0,5,48,0,0
"747",1,1,NA,1,5,47,0,1
"748",0,3,2,1,5,43,0,0
"749",1,4,3,0,5,42,0,1
"750",1,4,2,1,4,60,0,0
"751",0,2,2,1,1,43,0,1
"752",0,4,3,1,3,37,0,1
"753",1,6,3,0,4,23,0,0
"754",0,2,3,1,3,84,0,0
"755",0,6,2,1,5,28,0,1
"756",0,3,3,1,4,34,0,0
"757",1,5,2,0,3,41,0,1
"758",1,2,5,1,5,61,1,0
"759",1,2,3,1,4,38,0,1
"760",0,4,4,1,4,42,1,0
"761",1,3,1,1,5,75,0,1
"762",0,2,1,1,5,26,0,1
"763",1,2,4,1,4,75,1,0
"764",0,4,4,1,5,67,1,0
"765",1,2,5,0,1,28,1,0
"766",0,1,2,0,3,39,0,1
"767",1,2,4,1,5,31,1,0
"768",0,2,2,1,4,32,0,0
"769",1,2,5,1,5,48,1,0
"770",0,2,4,1,3,35,1,0
"771",0,3,1,1,5,37,0,1
"772",1,3,NA,1,1,46,1,0
"773",0,3,NA,1,5,29,1,0
"774",0,2,1,1,5,29,0,0
"775",1,2,4,1,5,78,0,1
"776",1,2,5,0,5,56,1,0
"777",0,5,5,0,5,37,1,0
"778",0,2,4,0,3,39,1,0
"779",1,6,2,0,5,64,0,1
"780",0,3,1,1,4,19,0,0
"781",1,4,2,1,5,43,0,1
"782",0,5,4,0,1,26,1,0
"783",1,5,1,0,5,41,0,1
"784",0,3,5,0,5,43,0,0
"785",1,3,2,0,5,35,0,1
"786",0,5,5,0,4,26,1,0
"787",1,3,3,0,5,35,0,0
"788",1,4,2,1,5,21,0,0
"789",0,3,2,0,4,61,1,0
"790",1,3,2,1,5,23,0,0
"791",0,2,1,0,4,58,0,1
"792",1,2,4,0,4,55,0,1
"793",0,6,4,1,4,60,0,0
"794",1,1,NA,1,3,19,0,0
"795",0,6,1,0,4,53,0,0
"796",1,6,2,1,4,44,0,1
"797",1,3,1,1,5,72,0,1
"798",0,5,3,0,5,26,0,0
"799",0,2,1,1,5,43,0,1
"800",1,1,NA,1,5,19,0,0
"801",1,2,NA,1,3,34,0,0
"802",1,6,1,1,5,55,0,1
"803",1,4,3,0,4,41,0,1
"804",1,2,3,1,3,23,0,0
"805",0,2,3,1,5,43,0,0
"806",1,2,NA,0,1,23,0,0
"807",1,5,1,1,4,28,0,1
"808",1,5,3,0,5,72,0,0
"809",0,5,2,1,3,31,0,0
"810",1,4,4,1,5,59,0,0
"811",1,3,3,0,1,25,0,0
"812",0,5,3,0,5,35,0,0
"813",1,1,3,0,5,28,1,0
"814",1,2,4,0,4,54,0,0
"815",1,3,3,0,4,54,0,1
"816",0,3,3,0,5,41,0,1
"817",0,6,1,1,5,60,0,1
"818",1,3,2,0,3,24,0,1
"819",0,4,1,1,5,61,0,1
"820",1,2,3,0,5,53,0,0
"821",0,2,4,0,4,50,1,0
"822",0,2,4,0,4,53,1,0
"823",1,2,2,0,5,25,0,1
"824",0,2,4,0,4,18,1,0
"825",1,1,3,1,4,33,1,0
"826",0,6,1,0,5,40,0,1
"827",1,4,4,1,1,21,0,1
"828",0,4,3,0,5,43,0,0
"829",1,2,3,1,1,33,0,1
"830",0,5,5,1,3,35,0,0
"831",1,3,4,1,5,36,1,0
"832",0,2,3,0,5,29,0,0
"833",1,6,1,1,4,44,0,1
"834",0,3,4,0,5,50,1,0
"835",0,5,3,0,3,24,0,0
"836",1,2,NA,0,5,34,0,0
"837",1,4,2,1,5,47,0,1
"838",1,2,2,1,5,48,0,1
"839",0,2,1,0,5,31,0,1
"840",1,1,NA,0,2,57,0,0
"841",1,4,5,0,5,48,1,0
"842",0,2,4,1,4,44,1,0
"843",1,2,5,0,5,23,0,0
"844",1,3,1,0,5,22,0,1
"845",0,1,1,0,5,38,0,1
"846",1,4,1,0,5,44,0,0
"847",0,2,1,1,5,28,0,1
"848",1,3,NA,0,5,31,0,0
"849",1,2,3,1,3,49,0,1
"850",0,6,3,0,4,35,0,0
"851",1,2,3,0,5,74,0,0
"852",1,6,3,0,5,47,0,1
"853",1,2,1,0,5,59,0,1
"854",1,5,1,1,5,65,0,1
"855",1,2,2,0,4,33,0,1
"856",1,5,4,1,5,47,1,0
"857",1,4,3,1,5,78,0,1
"858",1,2,NA,0,1,36,1,0
"859",0,2,3,0,3,29,0,1
"860",1,2,4,0,1,36,0,0
"861",1,2,3,0,3,63,1,0
"862",1,3,5,0,5,59,1,0
"863",0,2,2,0,5,41,0,1
"864",0,4,3,1,5,49,0,0
"865",1,3,3,1,5,70,1,0
"866",0,5,5,1,5,72,0,0
"867",1,3,2,1,4,21,0,1
"868",0,5,1,1,5,30,0,1
"869",1,1,5,0,4,77,1,0
"870",1,3,3,0,4,27,0,0
"871",1,2,3,1,5,72,1,0
"872",1,3,3,0,5,28,0,0
"873",1,3,3,0,5,43,0,1
"874",1,2,5,1,4,66,1,0
"875",0,4,3,0,4,49,0,0
"876",1,2,1,1,4,71,0,1
"877",1,2,4,1,5,62,1,0
"878",1,2,5,0,5,71,1,0
"879",1,3,4,0,5,76,1,0
"880",1,6,2,1,4,59,0,1
"881",1,3,3,0,5,47,0,0
"882",1,2,4,1,5,47,1,0
"883",1,2,1,0,4,50,0,1
"884",1,2,3,1,3,35,0,0
"885",1,4,3,1,5,71,1,0
"886",1,2,5,0,5,75,1,0
"887",1,1,4,1,4,84,0,0
"888",1,2,NA,0,5,72,1,0
"889",1,2,5,1,5,67,1,0
"890",0,3,4,0,4,49,0,0
"891",1,3,4,0,4,28,1,0
"892",1,1,5,1,5,71,1,0
"893",1,3,3,0,5,53,0,0
"894",1,3,4,1,4,20,1,0
"895",1,6,3,0,5,68,0,0
"896",1,3,5,1,5,26,1,0
"897",1,5,3,0,5,23,0,0
"898",1,3,1,0,5,24,0,1
"899",1,5,3,1,3,41,0,1
"900",1,5,1,0,5,31,0,1
"901",1,2,5,1,3,63,1,0
"902",1,5,2,0,4,37,0,1
"903",1,2,3,1,5,50,0,0
"904",0,2,3,0,5,57,0,0
"905",1,3,3,1,5,50,1,0
"906",1,3,4,1,5,42,1,0
"907",1,3,3,0,3,32,0,0
"908",1,2,5,1,4,85,1,0
"909",0,2,3,1,3,20,1,0
"910",1,2,4,1,5,35,1,0
"911",0,6,3,0,5,52,0,0
"912",0,3,5,0,5,31,1,0
"913",1,2,4,0,3,43,1,0
"914",1,3,3,0,1,42,1,0
"915",0,6,3,1,5,59,1,0
"916",1,4,4,0,5,51,1,0
"917",1,5,3,1,5,36,0,0
"918",0,2,5,1,1,21,0,1
"919",0,2,5,1,5,50,0,1
"920",1,5,2,1,5,27,0,0
"921",0,3,5,1,3,20,1,0
"922",1,5,1,1,5,57,0,1
"923",0,6,3,0,2,34,0,0
"924",0,4,5,0,5,30,1,0
"925",0,5,4,0,4,57,1,0
"926",0,1,5,1,5,34,1,0
"927",0,1,1,0,4,28,0,0
"928",0,3,3,1,5,44,0,0
"929",0,2,5,0,3,38,1,0
"930",1,4,4,0,5,39,0,0
"931",1,3,5,0,NA,26,0,0
"932",0,6,2,1,4,32,0,1
"933",0,3,1,0,5,18,0,1
"934",0,2,3,0,1,30,0,0
"935",0,3,4,1,5,22,1,0
"936",1,5,3,0,2,30,0,0
"937",0,2,NA,0,5,18,0,0
"938",0,5,4,1,3,31,1,0
"939",1,2,NA,0,5,27,0,0
"940",1,6,3,0,5,34,0,0
"941",1,5,3,1,5,40,0,1
"942",1,5,4,1,5,40,1,0
"943",1,4,3,0,4,26,0,1
"944",1,2,5,0,5,61,0,1
"945",1,6,1,1,4,35,0,1
"946",0,1,5,0,4,52,0,0
"947",0,3,2,0,4,22,0,1
"948",0,2,2,0,4,18,0,0
"949",1,5,3,0,5,28,0,0
"950",1,3,1,1,5,20,0,1
"951",0,5,NA,1,5,24,0,1
"952",1,5,2,1,5,29,0,1
"953",0,5,2,1,5,67,0,1
"954",1,2,4,1,4,58,1,0
"955",0,5,4,1,5,49,0,0
"956",1,5,1,0,5,36,0,1
"957",1,4,4,1,3,32,1,0
"958",0,3,4,0,5,61,0,0
"959",1,5,4,1,5,24,0,0
"960",1,2,NA,0,4,27,0,0
"961",0,1,5,1,3,34,1,0
"962",0,2,3,0,5,29,0,1
"963",0,3,3,1,4,57,0,0
"964",1,6,2,1,5,55,0,1
"965",1,5,3,0,4,24,0,0
"966",0,3,4,0,5,45,1,0
"967",0,6,2,1,5,42,0,1
"968",0,4,3,1,5,44,0,0
"969",1,4,2,1,5,38,0,0
"970",0,2,1,1,4,33,0,0
"971",1,4,5,1,4,29,1,0
"972",0,3,5,1,5,24,1,0
"973",0,6,3,0,4,29,0,0
"974",0,5,2,1,5,70,0,1
"975",0,2,3,0,4,67,0,0
"976",1,5,3,0,4,26,0,0
"977",1,4,4,1,3,25,1,0
"978",0,2,2,0,2,33,0,1
"979",0,4,3,0,5,43,0,0
"980",0,2,2,0,3,18,0,0
"981",1,3,NA,1,1,24,0,0
"982",1,5,3,0,5,22,0,0
"983",1,1,NA,1,4,25,0,0
"984",1,3,2,1,5,19,0,1
"985",1,2,5,0,5,28,0,1
"986",1,3,5,1,3,18,1,0
"987",0,3,3,0,4,19,1,0
"988",0,2,4,1,5,52,1,0
"989",0,5,5,1,5,63,1,0
"990",1,2,NA,1,5,26,0,0
"991",1,6,2,1,5,41,0,1
"992",1,2,5,1,5,26,1,0
"993",0,3,2,0,3,20,0,0
"994",1,6,3,0,4,27,0,0
"995",1,5,4,0,NA,39,1,0
"996",1,3,2,0,3,34,1,0
"997",1,3,3,1,5,44,1,0
"998",0,2,3,1,4,20,1,0
"999",0,2,4,0,5,20,0,0
"1000",0,1,NA,1,5,18,0,0
