"","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"80",0,3,3,0,2,58,0,1
"81",0,2,4,1,3,56,1,0
"82",1,2,4,0,4,69,0,0
"83",1,3,4,0,3,70,1,0
"84",1,2,3,1,5,64,0,1
"85",0,2,4,1,1,71,1,0
"86",0,2,4,1,4,41,1,0
"87",1,2,1,0,3,69,0,1
"88",1,2,3,0,5,76,1,0
"89",1,4,2,0,1,70,0,1
"90",1,5,2,1,3,50,0,0
"91",1,6,3,0,2,55,0,1
"92",0,2,5,0,4,43,1,0
"93",1,2,3,1,4,66,0,1
"94",0,2,4,0,5,58,0,0
"95",1,5,3,0,5,48,0,1
"96",1,5,NA,0,5,53,0,0
"97",1,2,4,1,4,82,0,0
"98",0,3,3,1,4,74,1,0
"99",0,5,4,0,5,70,1,0
"100",1,5,3,0,5,35,0,1
"101",0,5,4,0,5,58,1,0
"102",1,6,4,1,5,39,1,0
"103",1,2,NA,1,4,71,0,1
"104",0,5,2,1,5,36,0,0
"105",1,6,1,0,5,38,0,1
"106",0,3,3,1,5,60,0,1
"107",0,1,3,1,3,70,1,0
"108",0,2,4,0,1,53,0,0
"109",0,5,5,1,4,55,1,0
"110",1,4,3,0,3,78,0,1
"111",1,5,2,0,5,69,0,0
"112",1,3,3,1,4,71,0,1
"113",1,6,4,0,5,72,1,0
"114",1,3,4,1,5,65,1,0
"115",1,4,3,0,4,52,0,0
"116",1,2,3,0,4,44,0,0
"117",1,3,1,0,5,51,0,1
"118",1,3,3,0,4,51,0,0
"119",1,5,3,0,4,78,0,1
"120",1,2,4,0,4,68,1,0
"121",1,6,3,0,5,57,0,1
"122",1,2,2,0,4,76,0,1
"123",1,3,5,1,5,60,0,0
"124",1,2,4,1,3,84,0,0
"125",0,5,5,0,5,48,1,0
"126",1,2,3,1,4,79,1,0
"127",1,6,4,0,5,52,0,0
"128",0,5,5,0,5,78,1,0
"129",0,2,4,1,5,67,0,1
"130",0,2,5,1,1,63,0,0
"131",1,6,1,1,3,68,0,1
"132",0,2,5,1,5,63,0,0
"133",0,4,4,0,4,43,1,0
"134",0,6,1,1,5,64,0,1
"135",0,5,3,1,5,57,0,1
"136",1,2,4,0,3,57,0,0
"137",0,2,5,1,5,74,1,0
"138",1,1,5,1,3,63,1,0
"139",0,2,5,1,5,71,1,0
"140",0,4,3,1,4,66,0,1
"141",0,5,3,0,4,62,0,1
