top1la,mgdppc,tradedep,secsharel10,fempart,wcentld,totden2,leftgov,nondem,funisuf,period,stnum
5.972999954,14.36751022,81.49779968,0.399882358,0.363043071,0,38.47999954,0.4,0,1,16,210
5.885000038,14.69648113,97.03400421,0.49998036,0.345835655,0,31.23999977,0,0,1,17,210
5.737999916,16.27098866,88.70190887,0.558795738,0.370800416,0,26.92000008,0,0,1,18,210
5.395999908,17.91915817,86.37857896,0.592340636,0.39720249,0,27.92000008,0.4,0,1,19,210
6.215076345,20.3183445,99.94062778,0.581513751,0.350116172,0,31.98604191,1,0,1,20,210
14.9812854,3.346646309,34.72802799,0.028736731,0.207822519,0,15.63542182,0.8,0,0,3,220
19.22800026,2.975210476,32.58556331,0.032179882,0.243646027,0,16.10251304,0.6,0,0,4,220
18.04399986,3.75688014,46.29962087,0.030387059,0.271671242,0,22.03599601,0.6,0,0,5,220
16.80000019,4.415295315,49.92152667,0.03201109,0.243184639,0,23.31707634,0.4,0,0,6,220
15.01199989,4.142234564,46.78782176,0.065955698,0.275795424,0,31.91237827,0.4,0,0,7,220
14.02400017,4.406467438,41.9300536,0.081304252,0.259396633,0,27.0892637,0.6,0.2,0,8,220
10.08999996,2.829188442,15.74886025,0.125976935,0.327239117,0,40.99058569,0,0.8,0.2,9,220
9.036000061,4.520822525,22.6791011,0.234914787,0.269931897,0,31.54548215,0.4,0,1,10,220
9.126000023,5.865302277,17.62537022,0.164257404,0.286169743,0,25.4,0,0,1,11,220
9.384000015,7.021498203,18.334729,0.20300532,0.330712555,0,20.94000053,0.4,0,1,12,220
9.58200016,8.601840496,20.35672989,0.255738983,0.296372842,0,19.36000023,0,0,1,13,220
8.873999977,10.63148956,22.56296158,0.316632491,0.332932612,0,19.84000015,0,0,1,14,220
8.568000031,12.88450584,30.18561058,0.374567181,0.301727879,0,21.01999969,0,0,1,15,220
7.896000004,14.52910118,35.1084343,0.478464019,0.333720758,0,18.9,0,0,1,16,220
7.168000031,15.58299675,39.26610718,0.582680094,0.24743514,0,14.43999996,1,0,1,17,220
7.909999943,17.15914688,36.36340637,0.577144468,0.305848851,0,10.21999989,0.8,0,1,18,220
7.755999947,18.43689842,39.38471716,0.604050136,0.305473966,0,8.920000267,0.6,0,1,19,220
8.284817205,20.01774178,44.54948666,0.64931221,0.281840355,0,8.562052345,0.8,0,1,20,220
14.61435308,4.451235867,34.2849684,0.1398278,0.23492963,0,14.40707506,0,0,0,3,225
16.96436905,4.056293678,29.92606689,0.159439901,0.283120222,0,19.15992864,0,0,0,4,225
15.90115917,4.622204208,37.3860734,0.186510906,0.239678042,0,21.3,0,0,0,5,225
15.98574411,5.611675167,42.66071539,0.169504464,0.241856355,0,20.4,0,0,0,6,225
12.10235673,5.83547411,28.7333443,0.190347397,0.281335573,0,27.02000046,0,0,0,7,225
10.85999966,7.135338306,38.53697502,0.187188259,0.27911221,0,27.07999992,0,0,0,8,225
10.77799988,7.96324358,35.84226634,0.136971551,0.273980064,0,30.15999947,0.08571429,0,0,9,225
10.05400009,9.533044434,40.9856778,0.123742022,0.281677054,0,39.57999954,0.142857149,0,0,10,225
9.831999779,10.61411953,43.2221344,0.125584033,0.301483237,0,39.51999893,0.114285719,0,0,11,225
10.21599979,11.66070213,45.18925629,0.197310953,0.300951956,0,39.17999954,0.114285719,0,0,12,225
10.84599991,13.17753391,48.5029747,0.18642558,0.308922225,0,36.2,0.285714298,0,0,13,225
10.87799988,15.09987049,50.9591713,0.322601408,0.309920425,0,34.36000061,0.285714298,0,0,14,225
9.990000343,17.10082436,51.57947311,0.474254309,0.327611836,0,33.22000046,0.285714298,0,1,15,225
8.513999748,18.81342659,58.11031418,0.66573064,0.367214805,0,35.92000046,0.285714298,0,1,16,225
8.526000023,19.85043335,59.62166901,0.638828807,0.325186899,0,32.54000053,0.285714298,0,1,17,225
9.126000023,21.68677292,58.73003616,0.698441671,0.394283376,0,30.37999954,0.285714298,0,1,18,225
8.360000229,21.31652794,79.54984341,0.71229714,0.361001225,0,26.56000023,0.285714298,0,1,19,225
7.373821451,23.6343998,79.59797425,0.807145106,0.373288209,0,38.25397827,0.285714298,0,1,20,225
15.93518709,2.0216187,27.27119041,0.091281814,0.26090501,0,23.14877864,0,0,0,3,230
15.56313571,2.090600348,45.11382913,0.154467293,0.245198911,0,25.42545499,0,0,0,4,230
17.31482133,2.313496208,29.65063464,0.124008249,0.27432055,0,23.03366892,0,0.6,0,5,230
18.38040796,2.592007923,24.90548099,0.020318609,0.212219228,0,15.79570592,0,1,0,6,230
17.29379111,2.542565155,39.26841852,0.023753989,0.210280782,0,16.04236324,1,0,0,7,230
18.28108973,1.916375446,23.48285652,0.025602468,0.222912814,0.600000024,25.28624987,0.2,0.4,0,8,230
13.55209712,2.143287277,5.584309506,0.041429561,0.278979363,1,32.47230447,0,1,0,9,230
17.01068332,2.181170797,15.50711701,0.1060136,0.196853831,1,42.62106136,0,1,0,10,230
12.95331715,2.589300728,11.85795631,0.058331203,0.264694436,1,37.18912226,0,1,0,11,230
12.69567863,3.059182072,11.08635693,0.070276444,0.219192155,1,25.53720778,0,1,0,12,230
14.16220968,4.132823467,15.25415287,0.092550181,0.279119772,1,31.53996134,0,1,0,13,230
11.8730433,5.666642666,17.6655468,0.145490733,0.238425482,1,33.99706279,0,1,0,14,230
12.95748092,7.574968147,21.28268051,0.229326457,0.255129515,1,34.2198321,0,1,0,15,230
8.36182894,8.94518528,23.38865814,0.376717311,0.309763355,1,33.47416358,0,0,0.8,16,230
7.755999851,9.449852943,30.8416378,0.294113323,0.280252942,1,6.599999905,0.8,0,1,17,230
8.425999832,11.04008579,28.75775337,0.255424631,0.28440807,0,7.739999962,1,0,1,18,230
7.990000057,12.47935925,59.71298991,0.295693034,0.34866318,0,13.47999992,1,0,1,19,230
8.34800005,14.30984631,60.27335578,0.364158535,0.322354691,0,29.34149643,0.2,0,1,20,230
18.66900276,3.307682562,16.50668449,0.017581575,0.225942928,0,16.93729061,0,1,0,3,255
16.78457749,2.850321293,41.84668818,0.036460906,0.236360839,0,25.03999958,0.6,0.6,0.4,4,255
13.77129556,3.177779627,54.57612058,0.281931706,0.255438194,0,41.3,0,0,1,5,255
11.26000004,3.93209877,32.10034959,0.243719363,0.26212589,0,30.46000023,0.6,0,1,6,255
11.37999992,3.709400845,28.29513932,0.133998741,0.243326578,0.600000024,38.49701176,0,0.6,1,7,255
13.74493472,4.987602139,20.67966061,0.09936246,0.236284796,1,29.50801355,0,1,1,8,255
10.82826186,5.587751198,15.70108432,0.229606766,0.247400569,1,48.55250401,0,1,1,9,255
10.99499942,2.930000496,51.58541878,0.224055614,0.30371207,0,28.00727855,0,0,1,10,255
8.524469877,4.941454506,31.25139588,0.271220426,0.286761812,0,38.34000015,0,0,1,11,255
11.52850606,6.857507324,29.77714081,0.319742627,0.276012865,0,37.58000031,0,0,1,12,255
12.19999981,8.513577747,29.10225487,0.197641045,0.327929652,0,37.82000046,0,0,1,13,255
11.41999989,9.985647011,33.37997131,0.240876913,0.333563009,0,37.46000061,0.4,0,1,14,255
10.58666611,11.72554417,36.76596756,0.290712678,0.318106713,0,38.05999985,1,0,1,15,255
10.43333397,13.46368027,43.21006012,0.407256156,0.376222407,0,39.35999985,1,0,1,16,255
9.779999161,14.48800831,43.69420547,0.507774425,0.334634014,0,37.56000061,0.4,0,1,17,255
10.49333382,15.96349354,58.83282592,0.572747469,0.34732865,0,36.1,0,0,1,18,255
10.16666679,16.90227585,64.88641785,0.543368518,0.355534572,0,35.07999954,0,0,1,19,255
8.985731522,18.11864319,82.41013983,0.467155278,0.310898,0,27.54894604,0.6,0,1,20,255
22.78600006,3.047490025,54.48064237,0.0310845,0.241197765,0,17.43889048,0,0,0,3,380
20.44399986,2.710877466,41.22461223,0.036309077,0.224689724,0,20.56000023,0.2,0,0,4,380
11.56644132,2.998034668,41.40837976,0.040135068,0.319282278,0,25.92000046,1,0,1,5,380
12.60741192,3.673234701,46.42458492,0.045072448,0.321992064,0,32.17999954,0.2,0,1,6,380
12.56099987,3.878620672,55.42988076,0.052286832,0.263691494,0,38.6,0.8,0,1,7,380
9.861400905,4.748181343,50.70955698,0.054842129,0.245750335,0,50.25999985,1,0,1,8,380
10.18099995,5.300665092,54.64741792,0.081690016,0.238364183,0,57.24000015,1,0,1,9,380
8.363999939,6.352794743,45.67712146,0.100738668,0.282291274,0,65.48000031,1,0,1,10,380
6.942000103,7.211436749,38.71730347,0.11970475,0.291672827,0.800000012,68.78000031,1,0,1,11,380
6.819999981,8.189554787,37.75684433,0.170395008,0.281488945,1,69.83999939,1,0,1,12,380
6.605999947,9.970630836,36.83302231,0.212364176,0.294111541,1,67.64000092,1,0,1,13,380
6.35,11.69751759,37.58155899,0.301689419,0.331806098,1,66.08000031,1,0,1,14,380
5.527999973,13.46233349,45.0998024,0.462672144,0.322947421,1,70.57999878,1,0,1,15,380
4.376000071,14.43004208,48.64122696,0.59562254,0.366605513,1,76.72000122,0.2,0,1,16,380
3.90800004,15.47709618,55.46324005,0.801673245,0.32052808,0.400000006,80.1,0.8,0,1,17,380
3.848000002,17.1638649,51.28270798,0.857636666,0.406706848,0,83.30000153,1,0,1,18,380
5.227999973,17.1270607,72.93273055,0.947451055,0.364128114,0,86.57999878,0.6,0,1,19,380
5.831999969,19.15539589,90.65484053,0.956437528,0.39370076,0,75.767334,1,0,1,20,380
18.3,1.376511478,26.51823859,0.031951038,0.194073306,0,15.1363886,0,1,0,3,740
17.43200035,1.697234273,25.06874933,0.096183735,0.197661588,0,16.51194961,0,1,0,4,740
19.15799942,1.844290757,30.48530069,0.150370938,0.199479063,0,14.72005772,0,1,0,5,740
18.01599998,1.921971512,18.58467192,0.177234143,0.320092369,0,21.89490282,0,1,0,6,740
18.18399963,2.028032255,19.06667952,0.253136149,0.195511144,0,23.9356361,0,1,0,7,740
18.45200043,2.539829016,11.44180766,0.300161839,0.317251138,0,16.15283808,0,1,0,8,740
12.51599989,2.503525281,15.61427856,0.308576936,0.263812549,0,22.92243869,0,1,0.2,9,740
7.525,1.686198854,15.45658531,0.360229927,0.339228278,0,37.28150058,0.4,0,1,10,740
7.339999962,2.457799149,20.14238322,0.443512005,0.358096011,0,36.1876425,0,0,1,11,740
7.787999916,3.382601452,19.44148598,0.587266678,0.26301788,0,32.89942207,0,0,1,12,740
8.371999931,5.186576748,17.00978699,0.717773759,0.299563384,0,34.06699142,0,0,1,13,740
7.80199995,8.045835876,17.79071198,0.730021,0.284488797,0,34.12642212,0,0,1,14,740
7.684000015,10.93920536,20.49892235,0.924463284,0.251907593,0,33.51682892,0,0,1,15,740
6.989999962,12.58170567,22.11193733,0.905047393,0.304189845,0,31.49732056,0,0,1,16,740
7.010000038,14.44870663,24.03019867,0.869638109,0.294038768,0,28.83500938,0,0,1,17,740
7.690000057,17.16937962,16.64331837,0.914074409,0.391397705,0,25.98431473,0,0,1,18,740
7.236000061,19.58625946,14.28282084,0.993090296,0.312478484,0,23.59940033,0.6,0,1,19,740
7.650000191,20.77039948,20.22577929,1.030936289,0.27698673,0,21.39657822,0.2,0,1,20,740
9.662249486,5.056485558,21.0593718,0.443112121,0.274058227,0,39.6,1,0,1,3,900
8.488343335,4.75042572,20.09255945,0.442418,0.262984783,0,49.8,0.4,0,1,4,900
11.21587447,5.227411079,29.13875645,0.409323498,0.245905165,0,51,0,0,1,5,900
11.16000004,5.307881641,42.21975107,0.532398391,0.275388305,0,55.8,0.4,0,1,6,900
9.887000084,4.827445698,26.6255998,0.341634757,0.255566111,0,44.4,0.4,0,1,7,900
10.53000011,5.831889248,29.32694833,0.492306246,0.25658313,0,46.4,0,0,1,8,900
10.0119997,7.255104065,21.85066537,0.492564009,0.306273343,0,52.8,1,0,1,9,900
10.69499989,6.975046825,40.43281659,0.500618954,0.315631326,0,54.59846497,0.8,0,1,10,900
9.135000038,7.649687386,41.24522858,0.62216917,0.300277762,0,57.21934586,0,0,1,11,900
7.418999863,8.384676933,29.61613884,0.591762804,0.305725833,0,55.11618576,0,0,1,12,900
7.08399992,9.416122437,26.28716125,0.652043953,0.347706921,0,53.86394882,0,0,1,13,900
6.397000027,11.14137459,24.88646393,0.703510931,0.326187112,0,49.84903641,0,0,1,14,900
5.678999996,12.74539642,23.07269669,0.646534161,0.347798932,0,52.26728973,0.8,0,1,15,900
4.913999939,13.92104836,25.57356796,0.674085951,0.321641438,0,52.29859009,0,0,1,16,900
4.72300005,14.75783539,26.64238586,0.729627264,0.341695157,0,51.11743927,0.6,0,1,17,900
6.51600008,16.52851772,27.26378555,0.74414593,0.327224764,0,47.94998492,1,0,1,18,900
6.767000008,17.83168106,39.97987836,0.781748748,0.331180665,0,40.55158426,1,0,1,19,900
7.971999931,20.58633804,31.09913961,0.834152889,0.362165093,0,41.19572456,0.2,0,1,20,900
11.10115365,5.243721676,49.5238954,0.04525838,0.229761655,0,27.65109028,0,0,1,3,920
11.73700523,5.192664337,37.05764211,0.066313516,0.280930447,0,38.69145331,0,0,1,4,920
14.20370082,5.109693241,50.98660679,0.083842081,0.293104775,0,25.8195051,0,0,1,5,920
14.97650013,4.990196037,62.45679124,0.10514583,0.26995029,0,30.74457986,0,0,1,6,920
14.6125,4.621204472,65.96206534,0.134734592,0.162726424,0,21.36043925,0.2,0,1,7,920
12.03749981,6.232738304,55.88270744,0.173862749,0.288783556,0,33.12389259,1,0,1,8,920
