pair,date,year,village,district,vilno,disno,treat,poverty,pop2000,lpop2000,pop2002,pret,post,diff,groznyy,elevation,lelev,tariq,nn,lnn,reb,garrison,vildays,fail,swept,deaths,deathsd,wounded,woundedd,prop,propd,lprop,history,historyd,lhistory,change,decrease,increase,abandon,iso,neighbors,_st,_d,_t,_t0
15,8/6/2000,2000,Novye Aldy,Groznenskiy,94,3,1,2,2500,7.8240461,2000,4,3,-1,0,150,5.0106349,0,1.5650001,.4478859,0,0,1,1,0,1,1,2,1,3,1,1.386294,1,1,.69314718,-1,1,0,0,5,"Kirova, Groznyy (4)",1,1,1,0
15,8/6/2000,2000,Shaami-Yurt,Achkhoi-Martanovskiy,112,1,0,2,3636,8.1986399,3202,0,0,0,0,203,5.3132062,0,4.1269999,1.417551,0,0,90,0,0,,,,,,,,,,,0,0,0,0,3,"Shaami-Yurt, Valerik, Zakan-Yurt",1,0,90,0
16,8/6/2000,2000,Kirova,Naurskiy,68,8,0,1,2100,7.649693,2000,3,0,-3,0,161,5.0814042,1,3.4890001,1.249615,0,0,90,0,0,,,,,,,,,,,-1,1,0,0,1,Alkhan-Kala,1,0,90,0
16,8/6/2000,2000,Petropavlovskaya,Groznenskiy,102,3,1,2,3257,8.088562,3678,7,3,-4,0,116,4.7535901,1,6.1290002,1.813032,0,0,49,1,0,2,1,0,0,0,0,0,0,0,0,-1,1,0,0,1,Bol'shevik,1,1,49,0
17,9/2/2000,2000,Sharo-Argun,Vedenskiy,114,15,1,3,540,6.2915692,644,0,0,0,0,893,6.7945871,0,1.8,.58778661,1,0,90,0,0,0,0,6,1,34,1,3.5553479,0,0,0,0,0,0,0,6,"Ulus-Kert, Lakha-Varanda, Goychu, Dachu-Borzoi, Chishki, Duba-Yurt",1,0,90,0
17,9/2/2000,2000,Trekhgor'ye,Shalinskiy,131,10,0,2,569,6.3438811,650,0,0,0,0,548,6.3062749,0,3.704,1.309413,1,0,90,0,0,,,,,,,,,,,0,0,0,3,5,"Dachu-Borzoi, Yaryshmardy, Dagenduk, Kvemo Makhnety, Duba-Yurt",1,0,90,0
18,9/4/2000,2000,Kurchaloi,Kurchaloevskiy,72,6,0,2,12613,9.4424829,20857,3,6,3,0,202,5.3082681,0,3.244,1.176807,1,1,10,1,0,,,,,,,,,,,1,0,1,0,2,"Mayrtup, Geldagan",1,1,10,0
18,9/4/2000,2000,Starye Atagi,Groznenskiy,122,3,1,2,11205,9.3241158,10161,1,2,1,0,273,5.6094718,0,3.6689999,1.299919,0,1,36,1,1,0,0,0,0,10,1,2.3978951,0,0,0,1,0,1,0,2,"N. Atagi, Chiri-Yurt",1,1,36,0
19,9/6/2000,2000,Grozny (Leninskiy),Groznyy,74,2,1,1,18038,9.8002357,55311,21,15,-6,1,130,4.8675351,0,4.684,1.544152,0,1,3,1,1,5,1,7,1,11,1,2.4849069,0,0,0,-1,1,0,0,4,"Groznyy (3), Aldy",1,1,3,0
19,9/6/2000,2000,Staropomyslovskiy (Groznyy),Groznyy,121,2,0,1,20864,9.9457808,53395,16,13,-3,1,130,4.8675351,0,4.684,1.544152,0,1,3,1,0,,,,,,,,,,,-1,1,0,0,4,"Groznyy (3), Aldy",1,1,3,0
20,9/6/2000,2000,Avtury,Shalinskiy,12,10,0,2,10724,9.2802391,18330,3,2,-1,0,247,5.509388,0,5.2360001,1.655558,1,1,1,1,0,,,,,,,,,,,-1,1,0,0,1,Geldagan,1,1,1,0
20,9/6/2000,2000,Starye Atagi,Groznenskiy,122,3,1,2,11205,9.3241158,10161,1,2,1,0,273,5.6094718,0,3.6689999,1.299919,0,1,34,1,1,1,0,0,0,34,1,3.5553479,1,1,.69314718,1,0,1,0,2,"N. Atagi, Chiri-Yurt",1,1,34,0
21,9/8/2000,2000,Michurina,Groznenskiy,85,3,1,2,419,6.0378709,400,3,2,-1,0,109,4.6913481,0,1.244,.21833199,0,0,60,1,0,13,1,12,1,8,1,2.1972251,1,1,.69314718,-1,1,0,0,4,"Primykaniye, Berkat-Yurt, Tsentora-Yurt, Berdakel",1,1,60,0
21,9/8/2000,2000,Tashi,Kurchaloevskiy,126,6,0,2,587,6.3750248,700,0,0,0,0,674,6.5132298,0,3.1484001,1.146894,1,0,90,0,0,,,,,,,,,,,0,0,0,0,6,"Pervomayskaya, Morzoi-Mokhk, Achireshki, Shirdi-Mokhk, Agishbatoi, Mesedoy",1,0,90,0
22,9/9/2000,2000,Novogroznenskoi,Gudermesskiy,93,4,0,2,9426,9.151227,500,1,0,-1,0,56,4.025352,0,1.41,.34358969,1,1,90,0,0,,,,,,,,,,,-1,1,0,0,2,"Noybera, Tsentoroy",1,0,90,0
22,9/9/2000,2000,Tsotan-Yurt,Shalinskiy,134,10,1,2,9064,9.1120663,15935,3,1,-2,0,139,4.934474,0,3.77,1.327075,1,0,70,1,1,8,1,5,1,3,1,1.386294,1,1,.69314718,-1,1,0,0,1,Geldagan,1,1,70,0
23,9/11/2000,2000,Gekhi (Blagodatnoye),Urus-Martanovskiy,43,14,0,2,10717,9.2795868,9693,5,2,-3,0,222,5.402678,0,5.4660001,1.698547,0,0,71,1,1,,,,,,,,,,,-1,1,0,0,0,,1,1,71,0
23,9/11/2000,2000,Novye Atagi,Shalinskiy,95,10,1,2,9311,9.1389513,8741,0,1,1,0,266,5.5834961,0,3.086,1.126876,1,0,21,1,0,0,0,0,0,3,1,1.386294,0,0,0,1,0,1,0,1,Starye Atagi,1,1,21,0
24,9/15/2000,2000,Alkhazurovo,Urus-Martanovskiy,8,14,0,2,5365,8.5876513,5500,0,0,0,0,389,5.9635792,0,2.4389999,.89158809,0,0,90,0,1,,,,,,,,,,,0,0,0,0,4,"Goichu, Nagayeva, Starye Ataghi, Lakha-Varanda",1,0,90,0
