caseid,weight_full,mode,voted2012,regist2016,primary2016,intend.vote,ideology,pid_strength,born_again,fundamentalist,race,female,income,hannity,minutes60,cooper,matthews,press,conan,big.bang,modern.family,rush,NPR,voted2016,vote.choice2016,Dem.Pres.candFT,GOP.Pres.candFT,Lib.Pres.candFT,Green.Pres.candFT,Dem.House.candFT,GOP.House.candFT,Ind.House.candFT,Dem.Sen.candFT,GOP.Sen.candFT,Ind.Sen.candFT,Sr.SenFT,Jr.SenFT,Nonrun.SenFT,Dem.VP.candFT,GOP.VP.candFT,RobertsFT,PopeFT,Christian.FundFT,FemFT,LiberalsFT,Labor.UnionsFT,PoorFT,Big.BusinessFT,ConservativesFT,SCtFT,GaysFT,CongressFT,RichFT,MuslimsFT,ChristiansFT,JewsFT,Tea.PartyFT,PoliceFT,TransFT,ScientistsFT,BLMFT,tax.mill,vaccinces.in.school,vaccines,Govt.Reduce.Eq,Req.Equal,how.equal,Foreign.Im,immig.support,Free.Trade.Ag,marijuana,AsiansFT,HispanicsFT,BlacksFT,IllegalsFT,WhitesFT,location,educ,GOP,Dem,employed,cath_attend,prot_attend,jew_attend,cath_nonatt,prot_nonatt,jew_nonatt,Obama12,Romney12,yes.vote2016,Trump16,Clinton16
407428,0.5661,2,0,1,0,1,4,4,1,0,2,1,1,0,0,0,0,0,0,0,0,NA,NA,2,NA,50,50,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,50,70,50,60,100,0,100,50,85,50,15,100,100,100,50,85,85,60,100,1,0,NA,1,1,1,NA,4,0,1,70,70,70,50,70,TX,3,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
407430,0.7235,2,1,1,1,1,6,5,0,0,1,1,NA,0,1,0,0,1,0,0,0,0,0,4,2,0,100,0,0,NA,85,NA,50,85,NA,NA,NA,30,0,100,100,50,NA,50,NA,50,NA,85,100,70,85,40,100,50,85,100,70,100,85,100,0,1,1,1,-1,1,1,NA,1,-1,-1,85,85,85,15,85,PA,3,0,0,0,0,0,0,0,1,0,0,1,1,1,0
407433,0,2,1,1,0,1,6,6,1,0,3,0,6,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0
407434,0.9752,2,1,1,0,1,NA,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,2,0,70,40,50,50,50,NA,50,50,NA,NA,NA,70,50,50,50,50,85,70,15,15,60,40,60,85,0,70,60,0,100,60,60,85,15,50,0,-1,1,1,-1,1,2,NA,2,0,0,40,15,60,15,85,KY,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0
407436,1.4371,2,1,1,1,1,6,5,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,4,2,16,70,70,38,50,98,NA,NA,NA,NA,30,41,NA,24,96,85,86,69,16,40,40,59,60,92,59,50,40,60,30,84,73,78,69,50,40,2,-1,1,1,-1,1,1,-1,2,0,1,61,61,62,31,75,MI,3,0,0,1,0,0,0,0,1,0,0,1,1,1,0
407442,0.2803,2,1,1,1,1,6,5,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,4,2,30,70,0,0,50,100,NA,15,100,NA,NA,NA,100,15,100,60,100,60,15,15,60,85,40,85,60,0,15,NA,NA,85,NA,100,85,0,100,0,1,1,1,-1,1,1,NA,1,0,-1,70,70,60,16,70,IA,5,0,0,1,1,0,0,0,0,0,0,1,1,1,0
407446,0.3407,2,1,1,1,1,4,2,1,0,2,1,3,0,0,0,0,0,0,1,0,0,0,4,1,100,15,50,50,50,50,NA,85,50,NA,NA,NA,40,50,50,50,71,60,85,100,50,85,40,30,60,100,50,15,50,100,50,50,40,50,50,100,1,1,3,1,1,1,NA,4,0,1,49,87,100,85,29,IL,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1
407447,1.816,2,0,1,0,0,NA,4,1,0,1,0,3,0,0,0,0,0,0,0,0,NA,NA,4,2,38,72,59,37,46,50,NA,69,65,NA,NA,NA,56,55,43,52,72,40,71,43,61,60,60,48,44,50,60,38,53,62,51,58,61,52,51,50,1,1,1,1,1,1,NA,3,-1,0,86,50,59,63,62,PA,3,0,0,1,1,0,0,0,0,0,NA,NA,1,1,0
407449,0,2,1,1,1,0,6,7,0,0,1,0,4,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0
407450,0.741,2,1,1,0,1,4,2,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,4,NA,60,31,50,40,62,30,NA,NA,NA,NA,70,70,NA,49,30,50,86,60,41,60,29,49,40,61,50,50,41,41,50,69,48,40,60,49,69,31,1,1,1,1,1,2,NA,3,-1,0,70,70,70,70,70,MN,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0
