age,age2,gender,ethnicity,education,vote,interest.politics,elections.clean,ideology,pres.approval
63,4,0,6,5,1,3,1,7,1
58,3,1,6,2,1,3,1,7,1
16,1,0,6,2,1,3,1,7,1
52,3,0,6,2,1,3,1,7,1
53,3,0,6,2,1,3,1,7,1
38,2,0,2,4,1,3,1,7,1
36,2,0,6,4,1,3,1,7,1
18,1,0,2,3,0,1,1,7,1
20,1,1,2,5,0,1,1,7,1
22,1,0,5,5,1,1,1,7,1
20,1,0,6,5,1,1,1,7,1
58,3,1,5,1,1,1,1,7,1
60,3,1,4,2,1,1,1,7,1
41,3,1,5,2,1,1,1,7,1
29,2,1,6,2,1,1,1,7,1
54,3,1,6,2,1,1,1,7,1
26,2,1,5,7,1,4,1,7,1
76,4,1,2,1,1,4,1,7,1
43,3,0,6,4,1,4,1,7,1
17,1,0,2,2,0,2,0,7,1
23,1,0,,4,0,2,0,7,1
44,3,1,4,7,1,2,0,7,1
26,2,0,6,7,1,2,0,7,1
34,2,1,2,3,1,2,0,7,1
18,1,1,5,3,1,2,0,7,1
30,2,1,2,5,1,2,0,7,1
26,2,0,5,5,1,2,0,7,1
17,1,0,6,5,1,2,0,7,1
47,3,1,6,1,1,2,0,7,1
28,2,1,5,6,1,2,0,7,1
82,4,1,4,2,1,2,0,7,1
22,1,1,5,2,1,2,0,7,1
65,4,1,6,2,1,2,0,7,1
63,4,0,6,2,1,2,0,7,1
40,2,0,3,4,0,3,0,7,1
43,3,1,4,6,1,3,0,7,1
55,3,1,2,2,1,3,0,7,1
45,3,0,5,2,1,3,0,7,1
54,3,0,6,2,1,3,0,7,1
31,2,0,2,2,0,1,0,7,1
43,3,0,2,3,1,1,0,7,1
24,1,1,,3,1,1,0,7,1
27,2,1,2,5,1,1,0,7,1
60,3,1,,5,1,1,0,7,1
34,2,1,6,5,1,1,0,7,1
37,2,1,4,2,1,1,0,7,1
82,4,0,6,2,1,1,0,7,1
23,1,0,2,5,1,4,0,7,1
46,3,1,4,5,1,4,0,7,1
28,2,0,4,5,1,4,0,7,1
31,2,1,4,1,1,4,0,7,1
40,2,1,2,6,1,4,0,7,1
69,4,0,4,2,1,4,0,7,1
53,3,1,6,6,1,2,,7,1
34,2,1,6,2,1,2,,7,1
33,2,1,4,5,1,1,,7,1
36,2,1,6,6,1,2,,7,1
48,3,0,6,2,1,1,,7,1
18,1,0,4,5,0,2,1,8,1
18,1,1,4,6,0,2,1,8,1
16,1,0,4,2,0,2,1,8,1
16,1,0,6,4,0,2,1,8,1
22,1,1,4,3,1,2,1,8,1
32,2,1,2,5,1,2,1,8,1
25,1,0,4,5,1,2,1,8,1
32,2,0,4,5,1,2,1,8,1
25,1,1,6,5,1,2,1,8,1
60,3,0,6,1,1,2,1,8,1
69,4,1,4,6,1,2,1,8,1
37,2,0,5,6,1,2,1,8,1
51,3,1,6,2,1,2,1,8,1
62,4,0,6,2,1,2,1,8,1
24,1,0,5,4,1,2,1,8,1
77,4,1,5,1,0,3,1,8,1
61,4,1,4,7,1,3,1,8,1
52,3,0,6,7,1,3,1,8,1
66,4,0,1,5,1,3,1,8,1
31,2,0,2,5,1,3,1,8,1
36,2,1,4,5,1,3,1,8,1
44,3,0,5,5,1,3,1,8,1
24,1,0,6,5,1,3,1,8,1
50,3,0,6,5,1,3,1,8,1
45,3,0,6,1,1,3,1,8,1
51,3,0,2,2,1,3,1,8,1
36,2,1,6,2,1,3,1,8,1
49,3,0,6,2,1,3,1,8,1
64,4,0,6,2,1,3,1,8,1
38,2,0,6,4,1,3,1,8,1
18,1,0,2,5,0,1,1,8,1
19,1,1,6,4,0,1,1,8,1
22,1,0,2,3,1,1,1,8,1
31,2,1,4,3,1,1,1,8,1
32,2,1,4,3,1,1,1,8,1
47,3,1,2,5,1,1,1,8,1
47,3,1,4,5,1,1,1,8,1
40,2,1,6,5,1,1,1,8,1
56,3,1,2,2,1,1,1,8,1
48,3,1,4,2,1,1,1,8,1
22,1,1,6,2,1,1,1,8,1
34,2,0,6,2,1,1,1,8,1
28,2,1,2,5,0,4,1,8,1
42,3,1,6,7,1,4,1,8,1
41,3,1,6,7,1,4,1,8,1
71,4,1,6,7,1,4,1,8,1
57,3,0,5,1,1,4,1,8,1
16,1,0,6,3,0,2,0,8,1
17,1,1,4,4,0,2,0,8,1
18,1,0,4,4,0,2,0,8,1
21,1,0,6,5,1,2,0,8,1
22,1,0,6,5,1,2,0,8,1
22,1,1,3,2,1,2,0,8,1
19,1,0,3,2,1,2,0,8,1
54,3,1,4,2,1,2,0,8,1
65,4,1,5,2,1,2,0,8,1
78,4,1,6,2,1,2,0,8,1
34,2,0,6,2,1,2,0,8,1
70,4,0,6,2,1,2,0,8,1
68,4,0,6,2,1,2,0,8,1
32,2,0,2,4,1,2,0,8,1
30,2,1,4,7,1,3,0,8,1
19,1,0,5,3,1,3,0,8,1
51,3,1,6,5,1,3,0,8,1
51,3,1,3,6,1,3,0,8,1
49,3,0,5,2,1,3,0,8,1
30,2,0,6,2,1,3,0,8,1
26,2,0,6,4,1,3,0,8,1
18,1,0,3,3,0,1,0,8,1
75,4,1,6,1,0,1,0,8,1
23,1,0,2,2,0,1,0,8,1
17,1,1,6,2,0,1,0,8,1
20,1,1,6,2,0,1,0,8,1
31,2,1,4,5,1,1,0,8,1
60,3,0,5,1,1,1,0,8,1
40,2,0,2,2,1,1,0,8,1
41,3,1,5,2,1,1,0,8,1
46,3,1,,2,1,1,0,8,1
37,2,0,6,2,1,1,0,8,1
42,3,0,6,2,1,1,0,8,1
65,4,0,6,2,1,1,0,8,1
36,2,1,2,4,1,1,0,8,1
43,3,1,5,4,1,4,0,8,1
27,2,1,6,5,1,2,,8,1
35,2,1,6,5,1,2,,8,1
72,4,0,6,1,1,2,,8,1
66,4,0,4,2,1,2,,8,1
22,1,1,2,2,0,3,,8,1
17,1,1,2,3,0,2,1,9,1
70,4,1,6,3,1,2,1,9,1
33,2,0,6,3,1,2,1,9,1
49,3,1,2,5,1,2,1,9,1
30,2,0,4,5,1,2,1,9,1
31,2,0,6,5,1,2,1,9,1
